2025-11-26 21:15:22 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","common","-o","comprehensive_scan_20251126_211522\\port_scan_results.json","--format","json"]},"start_time":1764173722.8241727}
2025-11-26 21:15:25 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":0},"duration":2.247709035873413,"end_time":1764173725.0859716}
2025-11-26 21:15:25 | INFO | logger | TEST_START | Starting STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","config":{"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_211522\\stress_test_results.json"]},"start_time":1764173725.104747}
2025-11-26 21:15:42 | INFO | logger | TEST_END | Completed STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","results":{"exit_code":1},"duration":17.66329574584961,"end_time":1764173742.785716}
2025-11-26 21:15:42 | INFO | logger | ERROR | STRESS module failed | Data: {"exit_code":1,"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_211522\\stress_test_results.json"]}
2025-11-26 21:15:42 | INFO | logger | TEST_START | Starting REPORT Module against --generate-report | Data: {"target":"--generate-report","config":{"args":["--generate-report","txt","-o","comprehensive_scan_20251126_211522\\comprehensive_report.txt"]},"start_time":1764173742.8187263}
2025-11-26 21:15:43 | INFO | logger | TEST_END | Completed REPORT Module against --generate-report | Data: {"target":"--generate-report","results":{"exit_code":0},"duration":0.5954563617706299,"end_time":1764173743.4298093}
2025-11-26 21:15:43 | INFO | logger | TEST_END | Completed Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"port_scan":{"exit_code":0,"completed":true},"stress_test":{"exit_code":1,"completed":false},"report":{"exit_code":0,"completed":true}},"duration":20.621654510498047,"end_time":1764173743.4454267}
2025-11-26 21:16:41 | INFO | logger | TEST_START | Starting STRESS Module against -c | Data: {"target":"-c","config":{"args":["-c","5","-d","10","-o","test_stress.json","http://127.0.0.1"]},"start_time":1764173801.3357325}
2025-11-26 21:16:54 | INFO | logger | TEST_END | Completed STRESS Module against -c | Data: {"target":"-c","results":{"exit_code":0},"duration":12.914454698562622,"end_time":1764173814.2649527}
2025-11-26 21:17:15 | INFO | logger | TEST_START | Starting Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"output_dir":"comprehensive_scan_20251126_211715"},"start_time":1764173835.727197}
2025-11-26 21:17:15 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","common","-o","comprehensive_scan_20251126_211715\\port_scan_results.json","--format","json"]},"start_time":1764173835.7465868}
2025-11-26 21:17:17 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":0},"duration":2.203533172607422,"end_time":1764173837.96494}
2025-11-26 21:17:17 | INFO | logger | TEST_START | Starting STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","config":{"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_211715\\stress_test_results.json"]},"start_time":1764173837.9807355}
2025-11-26 21:17:35 | INFO | logger | TEST_END | Completed STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","results":{"exit_code":0},"duration":17.729743003845215,"end_time":1764173855.7266207}
2025-11-26 21:17:35 | INFO | logger | TEST_START | Starting REPORT Module against --generate-report | Data: {"target":"--generate-report","config":{"args":["--generate-report","txt","-o","comprehensive_scan_20251126_211715\\comprehensive_report.txt"]},"start_time":1764173855.758569}
2025-11-26 21:17:36 | INFO | logger | TEST_END | Completed REPORT Module against --generate-report | Data: {"target":"--generate-report","results":{"exit_code":0},"duration":0.6722557544708252,"end_time":1764173856.4529195}
2025-11-26 21:17:36 | INFO | logger | TEST_END | Completed Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"port_scan":{"exit_code":0,"completed":true},"stress_test":{"exit_code":0,"completed":true},"report":{"exit_code":0,"completed":true}},"duration":20.721487045288086,"end_time":1764173856.4676692}
2025-11-26 21:18:41 | INFO | logger | TEST_START | Starting AUTH-TEST Module against --check | Data: {"target":"--check","config":{"args":["--check","password123"]},"start_time":1764173921.5226986}
2025-11-26 21:18:41 | INFO | logger | TEST_END | Completed AUTH-TEST Module against --check | Data: {"target":"--check","results":{"exit_code":0},"duration":0.13582587242126465,"end_time":1764173921.6722598}
2025-11-26 21:19:05 | INFO | logger | TEST_START | Starting AUTH-TEST Module against --hash-test | Data: {"target":"--hash-test","config":{"args":["--hash-test"]},"start_time":1764173945.983485}
2025-11-26 21:19:06 | INFO | logger | TEST_END | Completed AUTH-TEST Module against --hash-test | Data: {"target":"--hash-test","results":{"exit_code":2},"duration":0.12813329696655273,"end_time":1764173946.1240327}
2025-11-26 21:19:06 | INFO | logger | ERROR | AUTH-TEST module failed | Data: {"exit_code":2,"args":["--hash-test"]}
2025-11-26 21:19:37 | INFO | logger | TEST_START | Starting SCAN Module against -p | Data: {"target":"-p","config":{"args":["-p","common","127.0.0.1"]},"start_time":1764173977.7859535}
2025-11-26 21:19:39 | INFO | logger | TEST_END | Completed SCAN Module against -p | Data: {"target":"-p","results":{"exit_code":0},"duration":2.1916494369506836,"end_time":1764173979.9931335}
